url_path,views_total,views_unique
/kulakov/statement,70,56
/kulakov/statement/blob/main/README.md,27,25
/kulakov/statement/blob/main/README.en.md,6,5
/kulakov/statement/blob/main/.github/workflows/repo-stats.yml,2,2
/kulakov/statement/blob/main/stats.sh,2,2
/kulakov/statement/commits,2,2
/kulakov/statement/tree/main/.github/workflows,2,2
/kulakov/statement/commit/13c9db43fc14af5fecff7a9a6240194d523a1b81,1,1
/kulakov/statement/commit/667cae66f151305cc76ed2dd86a67980bbbea4aa,1,1
/kulakov/statement/commit/a636c6d6ae7932168bac6f78dbb06fb8fc3a0c1d,1,1
