time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-02 00:00:00+00:00,3,3,8,5
2026-08-03 00:00:00+00:00,2,2,6,4
2026-08-04 00:00:00+00:00,1,1,3,3
2026-08-05 00:00:00+00:00,2,2,8,5
2026-08-06 00:00:00+00:00,2,2,6,4
2026-08-07 00:00:00+00:00,16,7,4,4
2026-08-08 00:00:00+00:00,2,2,2,2
2026-08-09 00:00:00+00:00,1,1,1,1
2026-08-10 00:00:00+00:00,1,1,2,2
2026-08-11 00:00:00+00:00,1,1,2,2
2026-08-12 00:00:00+00:00,14,5,3,3
2026-08-13 00:00:00+00:00,1,1,7,2
2026-08-14 00:00:00+00:00,1,1,3,2
2026-08-15 00:00:00+00:00,8,3,0,0
